1	1	5	881250949
1	2	5	891717742
1	3	1	878887116
1	4	2	880606923
1	5	1	886397596
2	1	5	884182806
2	2	4	881171488
2	3	5	891628467
2	4	3	886324817
2	5	3	883603013
3	1	5	879372434
3	2	3	879781125
3	3	5	876042340
3	4	3	891035994
3	5	3	888104457
4	1	5	879485318
4	2	5	879270459
4	3	2	879539794
4	4	4	874834944
4	5	2	892079237
5	6	4	886176814
5	7	4	892738452
5	8	4	877881320
6	6	2	874833878
6	7	4	887736532
6	8	2	879196566
7	6	5	892430094
7	7	2	883748450
7	8	4	875747401
8	6	5	876861185
8	7	3	877052329
8	8	4	882075827
9	6	4	879539727
9	7	4	880731963
9	8	3	884238860
10	6	4	886890835
10	7	1	878962623
10	8	5	891295330
11	6	1	874791932
11	7	4	891350932
11	8	4	877888877
12	6	4	885329322
12	7	2	884114233
12	8	3	874791805
